Indicator,Urban,Rural,Total,Total NFHS4,State
61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.2,86.6,86.1,72.7,Gujarat
62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.5,85.8,86.8,75,Gujarat
63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),24.3,29,27.3,,Gujarat
64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14  (%),2.9,1.8,2.2,,Gujarat
65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85,84.9,84.9,38.6,Gujarat
66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),86.6,84.5,85.3,71.2,Gujarat
67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),83.4,97.4,92.1,87.1,Gujarat
68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),16.4,2.3,7.6,12.6,Gujarat
Treatment of Childhood Diseases (children under age 5 years),,,,,Gujarat
69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.7,9.7,8.2,8.4,Gujarat
70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),69.8,65.4,66.5,46.2,Gujarat
71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),31.7,36.8,35.4,17.4,Gujarat
72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),70.5,69.3,69.6,65.4,Gujarat
73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.9,1.1,1,1.4,Gujarat
74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),76,74.8,75.2,70.2,Gujarat
Child Feeding Practices and Nutritional Status of Children,,,,,Gujarat
75. Children under age 3 years breastfed within one hour of birth15  (%),34.4,39.9,37.8,49.9,Gujarat
76. Children under age 6 months exclusively breastfed16  (%),70.3,62.4,65,55.8,Gujarat
77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16  (%),40.8,42.6,42,49.4,Gujarat
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17   (%)",6.5,5.6,5.9,5.8,Gujarat
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",7.2,5.1,6,2.8,Gujarat
"80. Total children age 6-23 months receiving an adequate diet16, 17   (%)",6.6,5.5,5.9,5.2,Gujarat
81. Children under 5 years who are stunted (height-for-age)18  (%),32.4,43,39,38.5,Gujarat
82. Children under 5 years who are wasted (weight-for-height)18  (%),22.4,26.7,25.1,26.4,Gujarat
83. Children under 5 years who are severely wasted (weight-for-height)19  (%),9.7,11.1,10.6,9.5,Gujarat
84. Children under 5 years who are underweight (weight-for-age)18  (%),33.3,43.5,39.7,39.3,Gujarat
85. Children under 5 years who are overweight (weight-for-height)20  (%),4.6,3.5,3.9,1.9,Gujarat
Nutritional Status of Adults (age 15-49 years),,,,,Gujarat
86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21  (%),17.2,30.9,25.2,27.2,Gujarat
87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),16,24.7,20.9,24.7,Gujarat
88. Women who are overweight or obese (BMI ?25.0 kg/m2)21  (%),30.4,17,22.6,23.7,Gujarat
89. Men who are overweight or obese (BMI ?25.0 kg/m2) (%),25.6,15.6,19.9,19.7,Gujarat
90. Women who have high risk waist-to-hip ratio (?0.85) (%),47.2,41.2,43.7,,Gujarat
91. Men who have high risk waist-to-hip ratio (?0.90) (%),43.3,39,40.9,,Gujarat
Anaemia among Children and Adults,,,,,Gujarat
92. Children age 6-59 months who are anaemic (<11.0 g/dl)22  (%),77.6,81.2,79.7,62.6,Gujarat
93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22  (%),61.4,67.7,65.1,55.1,Gujarat
94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22  (%),55.6,66.4,62.6,51.3,Gujarat
95. All women age 15-49 years who are anaemic22  (%),61.3,67.6,65,54.9,Gujarat
96. All women age 15-19 years who are anaemic22  (%),63,72.3,69,56.5,Gujarat
97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),23.3,29.1,26.6,21.6,Gujarat
98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),31.5,39.2,36,31.9,Gujarat
Blood Sugar Level among Adults (age 15 years and above),,,,,Gujarat
Women,,,,,Gujarat
99. Blood sugar level - high (141-160 mg/dl)23 (%),8.4,7.9,8.1,,Gujarat
100. Blood sugar level - very high (>160 mg/dl)23 (%),7.6,6.1,6.7,,Gujarat
101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),17.6,14.6,15.8,,Gujarat
Men,,,,,Gujarat
102. Blood sugar level - high (141-160 mg/dl)23 (%),9.5,8.5,9,,Gujarat
103. Blood sugar level - very high (>160 mg/dl)23  (%),7.3,6.9,7.1,,Gujarat
104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),17.8,16.2,16.9,,Gujarat
Hypertension among Adults (age 15 years and above),,,,,Gujarat
Women,,,,,Gujarat
105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.4,12,11.7,,Gujarat
"106. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",3.8,5.1,4.6,,Gujarat
"107. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",21.1,20.1,20.6,,Gujarat
Men,,,,,Gujarat
108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7,13.3,13.1,,Gujarat
"109. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",3.9,4.8,4.4,,Gujarat
"110. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",20.3,20.3,20.3,,Gujarat
Screening for Cancer among Adults (age 30-49 years),,,,,Gujarat
Women,,,,,Gujarat
111. Ever undergone a screening test for cervical cancer (%),0.3,0.2,0.2,,Gujarat
112. Ever undergone a breast examination for breast cancer (%),0.1,0.1,0.1,,Gujarat
113. Ever undergone an oral cavity examination for oral cancer (%),0.2,0.2,0.2,,Gujarat
Men,,,,,Gujarat
114. Ever undergone an oral cavity examination for oral cancer (%),0.5,0.9,0.7,,Gujarat
Knowledge of HIV/AIDS among Adults (age 15-49 years),,,,,Gujarat
115. Women who have comprehensive knowledge24  of HIV/AIDS (%),36.3,22.8,28.5,18.4,Gujarat
116. Men who have comprehensive knowledge24  of HIV/AIDS (%),40.7,31.9,35.7,31.5,Gujarat
117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),79.1,57.6,66.7,43.2,Gujarat
118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.1,77.5,82.5,68.6,Gujarat
Women's Empowerment (women age 15-49 years),,,,,Gujarat
119. Currently married women who usually participate in three household decisions25 (%),94.4,90.7,92.2,85.4,Gujarat
120. Women who worked in the last 12 months and were paid in cash (%),26.4,34.1,30.8,30.2,Gujarat
121. Women owning a house and/or land (alone or jointly with others) (%),41.6,43.3,42.6,27.2,Gujarat
122. Women having a bank or savings account that they themselves use (%),73.5,67.5,70,48.6,Gujarat
123. Women having a mobile phone that they themselves use (%),66,36.2,48.8,47.9,Gujarat
124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26  (%),77.6,58.6,65.8,60.3,Gujarat
Gender Based Violence (age 18-49 years),,,,,Gujarat
125. Ever-married women age 18-49 years who have ever experienced spousal violence27  (%),10,16.8,14,20.2,Gujarat
126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,1.2,1.6,1.9,Gujarat
127. Young women age 18-29 years who experienced sexual violence by age 18 (%),3,4,3.6,5.2,Gujarat
Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),,,,,Gujarat
128. Women age 15 years and above who use any kind of tobacco (%),5.4,11,8.7,,Gujarat
129. Men age 15 years and above who use any kind of tobacco (%),33.6,46.7,41.1,,Gujarat
130. Women age 15 years and above who consume alcohol (%),0.3,0.8,0.6,,Gujarat
131. Men age 15 years and above who consume alcohol (%),4.6,6.8,5.8,,Gujarat
Population and Household Profile,,,,,Himachal
1. Female population age 6 years and above who ever attended school (%),92.4,79.3,81,79,Himachal
2. Population below age 15 years (%),20.7,22,21.8,24.6,Himachal
"3. Sex ratio of the total population (females per 1,000 males)",936,"1,057","1,040","1,078",Himachal
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",843,880,875,937,Himachal
5. Children under age 5 years whose birth was registered with the civil authority (%),97.9,97.9,97.9,95.3,Himachal
6. Deaths in the last 3 years registered with the civil authority (%),95.8,93.7,94,,Himachal
7. Population living in households with electricity (%),99,99.5,99.5,99.5,Himachal
8. Population living in households with an improved drinking-water source1  (%),98.4,95.9,96.2,94.9,Himachal
9. Population living in households that use an improved sanitation facility2 (%),85,81.3,81.8,72.3,Himachal
10. Households using clean fuel for cooking3  (%),94.7,44.5,51.7,36.7,Himachal
11. Households using iodized salt (%),99,99.1,99.1,99.1,Himachal
12. Households with any usual member covered under a health insurance/financing scheme (%),37.1,34.1,34.5,25.8,Himachal
13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.3,3.4,4.6,,Himachal
Characteristics of Adults (age 15-49 years),,,,,Himachal
14. Women who are literate4  (%),95,91.2,91.7,,Himachal
15. Men who are literate4  (%),91.7,95.4,94.9,,Himachal
16. Women with 10 or more years of schooling (%),79.8,63.8,65.9,59.4,Himachal
17. Men with 10 or more years of schooling (%),78.7,70.1,71.3,71.2,Himachal
18. Women who have ever used the internet (%),78.9,45.2,49.7,,Himachal
19. Men who have ever used the internet (%),83.7,65.1,67.9,,Himachal
Marriage and Fertility,,,,,Himachal
20. Women age 20-24 years married before age 18 years (%),7.2,5.1,5.4,8.6,Himachal
21. Men age 25-29 years married before age 21 years (%),,4.1,4.6,7.3,Himachal
22. Total fertility rate (children per woman),1.4,1.7,1.7,1.9,Himachal
23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.5,3.3,3.4,2.6,Himachal
24. Adolescent fertility rate for women age 15-19 years5,21,22,22,25,Himachal
"Infant and Child Mortality Rates (per 1,000 live births)",,,,,Himachal
25. Neonatal mortality rate (NNMR),,21.3,20.5,25.5,Himachal
26. Infant mortality rate (IMR),,27.1,25.6,34.3,Himachal
27. Under-five mortality rate (U5MR),,30.9,28.9,37.6,Himachal
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,Himachal
28. Any method6  (%),75.2,74.1,74.2,57,Himachal
29. Any modern method6  (%),59.3,64,63.4,52.1,Himachal
30. Female sterilization (%),21.7,40.2,37.7,34.5,Himachal
31. Male sterilization (%),2.5,3.5,3.3,2.4,Himachal
32. IUD/PPIUD (%),0.9,1.2,1.1,0.9,Himachal
33. Pill (%),2,1.4,1.5,1.5,Himachal
34. Condom (%),31.9,17.3,19.2,12.7,Himachal
35. Injectables (%),0,0.1,0.1,0.1,Himachal
Unmet Need for Family Planning (currently married women age 15–49 years),,,,,Himachal
36. Total unmet need7 (%),9.3,7.7,7.9,15.7,Himachal
37. Unmet need for spacing7  (%),3.7,2.6,2.8,4.8,Himachal
Quality of Family Planning Services,,,,,Himachal
38. Health worker ever talked to female non-users about family planning (%),17.3,19.5,19.3,15.8,Himachal
39. Current users ever told about side effects of current method8  (%),67.2,57.1,58.1,40.1,Himachal
Maternal and Child Health,,,,,Himachal
Maternity Care (for last birth in the 5 years before the survey),,,,,Himachal
40. Mothers who had an antenatal check-up in the first trimester (%),81.6,71.2,72.4,70.5,Himachal
41. Mothers who had at least 4 antenatal care visits (%),77.3,69.3,70.3,69.1,Himachal
42. Mothers whose last birth was protected against neonatal tetanus9  (%),86.7,90.5,90,86.2,Himachal
43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.9,66.4,67.2,49.4,Himachal
44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),44.4,42.8,43,22.7,Himachal
45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,98.8,98.7,95.4,Himachal
46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.8,86,86.3,70.2,Himachal
47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"9,411","3,138","3,760","3,329",Himachal
48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,8.2,7.6,1.5,Himachal
49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.5,85.5,86,,Himachal
Delivery Care (for births in the 5 years before the survey),,,,,Himachal
50. Institutional births (%),93.1,87.6,88.2,76.4,Himachal
51. Institutional births in public facility (%),64.2,72.7,71.7,61.6,Himachal
52. Home births that were conducted by skilled health personnel10  (%),0.8,1.8,1.7,3.4,Himachal
53. Births attended by skilled health personnel10  (%),90.3,86.6,87.1,78.9,Himachal
54. Births delivered by caesarean section (%),26.2,20.3,21,16.7,Himachal
55. Births in a private health facility that were delivered by caesarean section (%),46.7,52.6,51.4,44.4,Himachal
56. Births in a public health facility that were delivered by caesarean section (%),19.8,17.2,17.4,16.4,Himachal
Child Vaccinations and Vitamin A Supplementation,,,,,Himachal
57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11  (%),94.1,88.5,89.3,69.5,Himachal
58. Children age 12-23 months fully vaccinated based on information from vaccination card only12  (%),100,95.8,96.4,85.4,Himachal
59. Children age 12-23 months who have received BCG (%),97.7,98.2,98.2,94.8,Himachal
60. Children age 12-23 months who have received 3 doses of polio vaccine13  (%),95.4,89.3,90.1,82.4,Himachal
61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.1,96.4,96.1,85,Himachal
62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.4,95.9,95.9,87.5,Himachal
63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.6,44.2,42.4,,Himachal
64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14  (%),73.4,90,87.9,,Himachal
65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.1,96.6,96.3,74.1,Himachal
66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),71.6,77.9,77.1,64.3,Himachal
67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.6,98.1,97.5,97.9,Himachal
68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.1,1.3,1.8,1.9,Himachal
Treatment of Childhood Diseases (children under age 5 years),,,,,Himachal
69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.6,4.9,4.7,6.6,Himachal
70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,74.6,73.7,62.7,Himachal
71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,19.8,19.5,15,Himachal
72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,69.5,67.9,67.7,Himachal
73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4,1.1,1.5,1.6,Himachal
74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),67.3,77.9,76.2,78.4,Himachal
Child Feeding Practices and Nutritional Status of Children,,,,,Himachal
75. Children under age 3 years breastfed within one hour of birth15  (%),43.8,45.3,45.1,41.1,Himachal
76. Children under age 6 months exclusively breastfed16  (%),,71.3,69.9,67.2,Himachal
77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16  (%),,69.5,68.3,52.9,Himachal
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17   (%)",15.1,18.5,18,11.2,Himachal
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",,23.2,21.6,10,Himachal
"80. Total children age 6-23 months receiving an adequate diet16, 17   (%)",14.4,19.7,19,10.9,Himachal
81. Children under 5 years who are stunted (height-for-age)18  (%),27,31.3,30.8,26.3,Himachal
82. Children under 5 years who are wasted (weight-for-height)18  (%),16.2,17.6,17.4,13.7,Himachal
83. Children under 5 years who are severely wasted (weight-for-height)19  (%),6.3,7,6.9,3.9,Himachal
84. Children under 5 years who are underweight (weight-for-age)18  (%),24.6,25.6,25.5,21.2,Himachal
85. Children under 5 years who are overweight (weight-for-height)20  (%),5.4,5.7,5.7,1.9,Himachal
Nutritional Status of Adults (age 15-49 years),,,,,Himachal
86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21  (%),9.8,14.5,13.9,16.2,Himachal
87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),6.6,12.7,11.8,18,Himachal
88. Women who are overweight or obese (BMI ?25.0 kg/m2)21  (%),38.3,29.2,30.4,28.6,Himachal
89. Men who are overweight or obese (BMI ?25.0 kg/m2) (%),35.7,29.8,30.6,22,Himachal
90. Women who have high risk waist-to-hip ratio (?0.85) (%),60.3,62.1,61.9,,Himachal
91. Men who have high risk waist-to-hip ratio (?0.90) (%),61.2,50.8,52.3,,Himachal
Anaemia among Children and Adults,,,,,Himachal
92. Children age 6-59 months who are anaemic (<11.0 g/dl)22  (%),58.2,55,55.4,53.7,Himachal
93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22  (%),51.6,53.6,53.4,53.6,Himachal
94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22  (%),,43.9,42.2,50.4,Himachal
95. All women age 15-49 years who are anaemic22  (%),51,53.3,53,53.5,Himachal
96. All women age 15-19 years who are anaemic22  (%),59.8,52.3,53.2,52.7,Himachal
97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),8.6,20.3,18.6,20.1,Himachal
98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),,22.4,22.1,25,Himachal
Blood Sugar Level among Adults (age 15 years and above),,,,,Himachal
Women,,,,,Himachal
99. Blood sugar level - high (141-160 mg/dl)23 (%),6.8,6.3,6.4,,Himachal
100. Blood sugar level - very high (>160 mg/dl)23 (%),7.1,6.3,6.4,,Himachal
101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),15.4,13.7,13.9,,Himachal
Men,,,,,Himachal
102. Blood sugar level - high (141-160 mg/dl)23 (%),7.9,6.6,6.8,,Himachal
103. Blood sugar level - very high (>160 mg/dl)23  (%),7.7,6.5,6.7,,Himachal
104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),18.3,14.2,14.7,,Himachal
Hypertension among Adults (age 15 years and above),,,,,Himachal
Women,,,,,Himachal
105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.5,12.2,11.9,,Himachal
"106. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",4.9,5.1,5.1,,Himachal
"107. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",22.1,22.2,22.2,,Himachal
Men,,,,,Himachal
108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18,16.2,16.5,,Himachal
"109. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",6,4.7,4.9,,Himachal
"110. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",29.1,23.6,24.4,,Himachal
Screening for Cancer among Adults (age 30-49 years),,,,,Himachal
Women,,,,,Himachal
111. Ever undergone a screening test for cervical cancer (%),3.4,0.5,0.9,,Himachal
112. Ever undergone a breast examination for breast cancer (%),1.5,0.3,0.4,,Himachal
113. Ever undergone an oral cavity examination for oral cancer (%),0,0.3,0.3,,Himachal
Men,,,,,Himachal
114. Ever undergone an oral cavity examination for oral cancer (%),2.6,0.8,1.1,,Himachal
Knowledge of HIV/AIDS among Adults (age 15-49 years),,,,,Himachal
115. Women who have comprehensive knowledge24  of HIV/AIDS (%),46.1,34.7,36.2,30.9,Himachal
116. Men who have comprehensive knowledge24  of HIV/AIDS (%),46.9,39.8,40.8,44.5,Himachal
117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),92.7,74.1,76.6,68.6,Himachal
118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),90.4,84.6,85.5,89,Himachal
Women's Empowerment (women age 15-49 years),,,,,Himachal
119. Currently married women who usually participate in three household decisions25 (%),93.8,93.9,93.9,90.8,Himachal
120. Women who worked in the last 12 months and were paid in cash (%),36.3,17.7,20.2,17,Himachal
121. Women owning a house and/or land (alone or jointly with others) (%),21.1,23.4,23.1,11.3,Himachal
122. Women having a bank or savings account that they themselves use (%),88.8,82.2,83.1,68.8,Himachal
123. Women having a mobile phone that they themselves use (%),90.9,77.8,79.5,73.9,Himachal
124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26  (%),96.3,90.8,91.5,84.3,Himachal
Gender Based Violence (age 18-49 years),,,,,Himachal
125. Ever-married women age 18-49 years who have ever experienced spousal violence27  (%),6,8.7,8.3,5.9,Himachal
126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0,0.7,0.6,1.5,Himachal
127. Young women age 18-29 years who experienced sexual violence by age 18 (%),0,2.8,2.5,2.8,Himachal
Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),,,,,Himachal
128. Women age 15 years and above who use any kind of tobacco (%),1.2,1.7,1.7,,Himachal
129. Men age 15 years and above who use any kind of tobacco (%),25.4,33.4,32.3,,Himachal
130. Women age 15 years and above who consume alcohol (%),0.3,0.7,0.6,,Himachal
131. Men age 15 years and above who consume alcohol (%),30.4,32.1,31.9,,Himachal
Population and Household Profile,,,,,Karnataka
1. Female population age 6 years and above who ever attended school (%),82,67,73,70.7,Karnataka
2. Population below age 15 years (%),22.4,23.2,22.9,24.4,Karnataka
"3. Sex ratio of the total population (females per 1,000 males)","1,034","1,035","1,034",979,Karnataka
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,063",931,978,910,Karnataka
5. Children under age 5 years whose birth was registered with the civil authority (%),98.8,96.8,97.5,94.9,Karnataka
6. Deaths in the last 3 years registered with the civil authority (%),88.7,85.5,86.6,,Karnataka
7. Population living in households with electricity (%),99.3,99,99.1,98.3,Karnataka
8. Population living in households with an improved drinking-water source1  (%),97.3,94.1,95.3,95.3,Karnataka
9. Population living in households that use an improved sanitation facility2 (%),84.4,68.5,74.8,57.8,Karnataka
10. Households using clean fuel for cooking3  (%),94.5,69.3,79.7,54.7,Karnataka
11. Households using iodized salt (%),97.7,89.4,92.8,86.8,Karnataka
12. Households with any usual member covered under a health insurance/financing scheme (%),28.2,28,28.1,28.1,Karnataka
13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.9,16.3,17.3,,Karnataka
Characteristics of Adults (age 15-49 years),,,,,Karnataka
14. Women who are literate4  (%),85.1,71,76.7,,Karnataka
15. Men who are literate4  (%),90.5,87,88.5,,Karnataka
16. Women with 10 or more years of schooling (%),62.3,42,50.2,45.5,Karnataka
17. Men with 10 or more years of schooling (%),64.8,50.6,56.5,55.2,Karnataka
18. Women who have ever used the internet (%),50.1,24.8,35,,Karnataka
19. Men who have ever used the internet (%),71.5,55.6,62.4,,Karnataka
Marriage and Fertility,,,,,Karnataka
20. Women age 20-24 years married before age 18 years (%),16.1,24.7,21.3,21.4,Karnataka
21. Men age 25-29 years married before age 21 years (%),4.5,7.2,6.1,9.1,Karnataka
22. Total fertility rate (children per woman),1.5,1.8,1.7,1.8,Karnataka
23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.4,6.6,5.4,7.8,Karnataka
24. Adolescent fertility rate for women age 15-19 years5,27,47,40,51,Karnataka
"Infant and Child Mortality Rates (per 1,000 live births)",,,,,Karnataka
25. Neonatal mortality rate (NNMR),15.1,16.2,15.8,18.5,Karnataka
26. Infant mortality rate (IMR),21.4,27.8,25.4,26.9,Karnataka
27. Under-five mortality rate (U5MR),24.5,32.5,29.5,31.5,Karnataka
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,Karnataka
28. Any method6  (%),69.6,68.2,68.7,51.8,Karnataka
29. Any modern method6  (%),68.8,67.7,68.2,51.3,Karnataka
30. Female sterilization (%),55.2,58.9,57.4,48.6,Karnataka
31. Male sterilization (%),0,0,0,0.1,Karnataka
32. IUD/PPIUD (%),3.4,2.5,2.9,0.8,Karnataka
33. Pill (%),2.1,2.1,2.1,0.4,Karnataka
34. Condom (%),6,2.9,4.1,1.3,Karnataka
35. Injectables (%),0.7,0.4,0.5,0,Karnataka
Unmet Need for Family Planning (currently married women age 15–49 years),,,,,Karnataka
36. Total unmet need7 (%),7.3,5.9,6.5,10.4,Karnataka
37. Unmet need for spacing7  (%),4.2,3.4,3.8,6,Karnataka
Quality of Family Planning Services,,,,,Karnataka
38. Health worker ever talked to female non-users about family planning (%),36.6,35.2,35.8,19.8,Karnataka
39. Current users ever told about side effects of current method8  (%),79.7,68.7,72.9,41.6,Karnataka
Maternal and Child Health,,,,,Karnataka
Maternity Care (for last birth in the 5 years before the survey),,,,,Karnataka
40. Mothers who had an antenatal check-up in the first trimester (%),73.7,69.3,71,65.9,Karnataka
41. Mothers who had at least 4 antenatal care visits (%),71.2,70.6,70.9,70.1,Karnataka
42. Mothers whose last birth was protected against neonatal tetanus9  (%),94.9,92.8,93.6,88.1,Karnataka
43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.7,40.9,44.7,45.2,Karnataka
44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.5,23.7,26.7,32.6,Karnataka
45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.8,98.2,97.6,89.3,Karnataka
46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.4,87.4,87.4,65.5,Karnataka
47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,042","4,911","4,954","4,824",Karnataka
48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.5,15.3,12.3,5.6,Karnataka
49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.4,84.9,85.5,,Karnataka
Delivery Care (for births in the 5 years before the survey),,,,,Karnataka
50. Institutional births (%),98.3,96.2,97,94,Karnataka
51. Institutional births in public facility (%),56,70,64.8,61.2,Karnataka
52. Home births that were conducted by skilled health personnel10  (%),1.1,2,1.6,3.1,Karnataka
53. Births attended by skilled health personnel10  (%),96.2,92.5,93.8,93.7,Karnataka
54. Births delivered by caesarean section (%),35.2,29.4,31.5,23.6,Karnataka
55. Births in a private health facility that were delivered by caesarean section (%),52.3,52.8,52.5,40.3,Karnataka
56. Births in a public health facility that were delivered by caesarean section (%),23.3,22.2,22.6,16.9,Karnataka
Child Vaccinations and Vitamin A Supplementation,,,,,Karnataka
57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11  (%),80,86.5,84.1,62.6,Karnataka
58. Children age 12-23 months fully vaccinated based on information from vaccination card only12  (%),88.3,88.3,88.3,72.7,Karnataka
59. Children age 12-23 months who have received BCG (%),96.6,97.5,97.2,92.5,Karnataka
60. Children age 12-23 months who have received 3 doses of polio vaccine13  (%),82.5,90.5,87.6,74.6,Karnataka
61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),91.3,92.5,92.1,77.9,Karnataka
